User,Compound_Score,Pos_Score,Neu_Score,Neg_Score
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.2732,0.123,0.877,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.3299,0.136,0.74,0.124
Tesla,0.4215,0.359,0.641,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0772,0.11,0.793,0.097
Tesla,0.0,0.0,1.0,0.0
Tesla,0.6597,0.293,0.707,0.0
Tesla,0.7264,0.225,0.775,0.0
Tesla,0.3989,0.212,0.788,0.0
Tesla,-0.3182,0.0,0.901,0.099
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.2732,0.123,0.877,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.3299,0.136,0.74,0.124
Tesla,0.4215,0.359,0.641,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0772,0.11,0.793,0.097
Tesla,0.0,0.0,1.0,0.0
Tesla,0.6597,0.293,0.707,0.0
Tesla,0.7264,0.225,0.775,0.0
Tesla,0.3989,0.212,0.788,0.0
Tesla,-0.3182,0.0,0.901,0.099
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0258,0.16,0.686,0.154
Tesla,0.0,0.0,1.0,0.0
Tesla,0.8402,0.36,0.64,0.0
Tesla,0.3612,0.122,0.878,0.0
Tesla,0.8126,0.252,0.748,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.7506,0.353,0.521,0.126
Tesla,0.0,0.0,1.0,0.0
Tesla,0.7003,0.286,0.714,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.3182,0.434,0.566,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.7579,0.333,0.667,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,-0.3612,0.0,0.706,0.294
Tesla,0.4019,0.137,0.863,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,-0.0805,0.097,0.796,0.107
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,-0.1779,0.0,0.841,0.159
Tesla,0.2023,0.153,0.847,0.0
Tesla,0.4019,0.172,0.828,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.6674,0.264,0.736,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.4019,0.474,0.526,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.4926,0.39,0.61,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.1027,0.182,0.707,0.111
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.3818,0.167,0.833,0.0
Tesla,0.0382,0.05,0.95,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.5574,0.155,0.845,0.0
Tesla,0.4019,0.73,0.27,0.0
Tesla,0.5994,0.218,0.782,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.2617,0.102,0.898,0.0
Tesla,0.0,0.0,1.0,0.0
Tesla,0.1779,0.096,0.904,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.4019,0.213,0.787,0.0
HMNYHQ1,0.4019,0.162,0.838,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.7964,0.26,0.692,0.048
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,-0.5574,0.0,0.783,0.217
HMNYHQ1,0.128,0.2,0.8,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.4215,0.359,0.641,0.0
HMNYHQ1,0.0,0.0,1.0,0.0
HMNYHQ1,0.6696,0.473,0.527,0.0
HMNYHQ1,-0.0772,0.0,0.939,0.061
HMNYHQ1,0.0,0.0,1.0,0.0
